"","Country","District_Name","Week","Probable","Confirmed","ConfirmedFOI","ProbableFOI","DistrictID","WeekID","probable_cumulative","confirmed_cumulative"
"310","Guinea","TELIMELE","1/13/14",0,0,0,0.0392207131532813,"TELIMELE",3,0,0
"312","Guinea","TOUGUE","1/13/14",0,0,0,0,"TOUGUE",3,0,0
"314","Guinea","YOMOU","1/13/14",0,0,0,0,"YOMOU",3,0,0
"316","Liberia","BOMI","1/13/14",0,0,0,0,"BOMI",3,0,0
"318","Liberia","BONG","1/13/14",0,0,0,0,"BONG",3,0,0
"320","Liberia","GBARPOLU","1/13/14",0,0,0,0,"GBARPOLU",3,0,0
"322","Liberia","GRAND BASSA","1/13/14",0,0,0,0,"GRAND BASSA",3,0,0
"324","Liberia","GRAND CAPE MOUNT","1/13/14",0,0,0,0,"GRAND CAPE MOUNT",3,0,0
"326","Liberia","GRAND GEDEH","1/13/14",0,0,0,0,"GRAND GEDEH",3,0,0
"328","Liberia","GRAND KRU","1/13/14",0,0,0,0,"GRAND KRU",3,0,0
"330","Liberia","LOFA","1/13/14",0,0,0,0,"LOFA",3,0,0
"332","Liberia","MARGIBI","1/13/14",0,0,0,0,"MARGIBI",3,0,0
"334","Liberia","MARYLAND","1/13/14",0,0,0,0,"MARYLAND",3,0,0
"336","Liberia","MONTSERRADO","1/13/14",0,0,0,0,"MONTSERRADO",3,0,0
"338","Liberia","NIMBA","1/13/14",0,0,0,0,"NIMBA",3,0,0
"340","Liberia","RIVER GEE","1/13/14",0,0,0,0,"RIVER GEE",3,0,0
"342","Liberia","RIVERCESS","1/13/14",0,0,0,0,"RIVERCESS",3,0,0
"344","Liberia","SINOE","1/13/14",0,0,0,0,"SINOE",3,0,0
"346","Sierra Leone","BO","1/13/14",0,0,0,0,"BO",3,0,0
"348","Sierra Leone","BOMBALI","1/13/14",0,0,0,0,"BOMBALI",3,0,0
"350","Sierra Leone","BONTHE","1/13/14",0,0,0,0,"BONTHE",3,0,0
