Country,District,Week,ConfirmedCount,FOI__1,WeekID,DistrictID
Guinea,CONAKRY,3/22/16,19,0.498432126,64,CONAKRY
Guinea,FORECARIAH,3/22/16,19,0,64,FORECARIAH
Guinea,CONAKRY,7/21/15,18,0,29,CONAKRY
Guinea,MACENTA,8/11/15,18,9.28409894,32,MACENTA
Sierra Leone,BO,9/29/15,18,0,39,BO
Liberia,MARGIBI,10/13/15,18,31.3466284,41,MARGIBI
Sierra Leone,KAILAHUN,10/13/15,18,13.01759437,41,KAILAHUN
Sierra Leone,KENEMA,10/13/15,18,5.258576289,41,KENEMA
Sierra Leone,BO,11/17/15,18,0,46,BO
Sierra Leone,TONKOLILI,12/22/15,18,20.57961392,51,TONKOLILI
Liberia,BOMI,7/21/15,17,0,29,BOMI
Sierra Leone,PORT LOKO,8/11/15,17,0,32,PORTLOKO
Guinea,NZEREKORE,10/6/15,17,0.698904367,40,NZEREKORE
Guinea,BEYLA,11/3/15,17,2.297668074,44,BEYLA
Sierra Leone,KOINADUGU,11/10/15,17,0,45,KOINADUGU
Guinea,COYAH,11/24/15,17,2.391641556,47,COYAH
Guinea,CONAKRY,12/1/15,17,1.397582537,48,CONAKRY
Guinea,COYAH,12/8/15,17,0.497652973,49,COYAH
Guinea,FORECARIAH,2/16/16,17,0,59,FORECARIAH
Guinea,TELIMELE,5/26/15,16,0,21,TELIMELE
Sierra Leone,KAILAHUN,5/26/15,16,1.399413756,21,KAILAHUN
Guinea,GUECKEDOU,6/23/15,16,0,25,GUECKEDOU
Sierra Leone,KENEMA,6/23/15,16,0,25,KENEMA
Liberia,MONTSERRADO,7/7/15,16,0,27,MONTSERRADO
Liberia,LOFA,9/8/15,16,0,36,LOFA
Liberia,LOFA,9/15/15,16,0.099037798,37,LOFA
Guinea,FORECARIAH,9/22/15,2,1.199558551,38,FORECARIAH
Guinea,CONAKRY,9/29/15,16,0,39,CONAKRY
Guinea,KEROUANE,10/6/15,16,0.099796225,40,KEROUANE
Guinea,CONAKRY,10/13/15,16,0,41,CONAKRY
Sierra Leone,KAMBIA,10/27/15,16,0,43,KAMBIA
Guinea,MACENTA,11/10/15,16,0.097951603,45,MACENTA
Sierra Leone,TONKOLILI,12/8/15,16,21.78690798,49,TONKOLILI
Guinea,COYAH,12/15/15,16,0.198940052,50,COYAH
Sierra Leone,WESTERN AREA RURAL,1/19/16,16,2.276343661,55,WESTERNAREARURAL
Guinea,CONAKRY,2/23/16,16,1.495916933,60,CONAKRY
Sierra Leone,PORT LOKO,2/23/16,16,0,60,PORTLOKO
Guinea,GUECKEDOU,6/16/15,15,0,24,GUECKEDOU
Liberia,MONTSERRADO,7/14/15,15,0,28,MONTSERRADO
Sierra Leone,WESTERN AREA URBAN,8/18/15,15,3.698450513,33,WESTERNAREAURBAN
Guinea,GUECKEDOU,9/1/15,15,0,35,GUECKEDOU
Sierra Leone,BO,9/8/15,15,0,36,BO
Sierra Leone,TONKOLILI,9/15/15,15,15.38774471,37,TONKOLILI
Guinea,NZEREKORE,9/29/15,15,0.699204782,39,NZEREKORE
Liberia,BONG,9/29/15,15,0.498895221,39,BONG
Sierra Leone,BO,10/6/15,15,0,40,BO
Liberia,MARGIBI,10/20/15,15,25.00333341,42,MARGIBI
Sierra Leone,BO,11/3/15,15,0,44,BO
Guinea,KEROUANE,11/10/15,15,0,45,KEROUANE
Guinea,CONAKRY,11/24/15,15,0.898537651,47,CONAKRY
Guinea,COYAH,12/1/15,15,1.693114126,48,COYAH
Guinea,KINDIA,12/22/15,15,0.099865394,51,KINDIA
Sierra Leone,TONKOLILI,1/5/16,15,14.24120416,53,TONKOLILI
Guinea,FORECARIAH,1/19/16,15,0,55,FORECARIAH
Guinea,LOLA,1/26/16,15,0,56,LOLA
Liberia,BOMI,7/28/15,14,0,30,BOMI
Guinea,DUBREKA,8/25/15,14,1.998721142,34,DUBREKA
Sierra Leone,WESTERN AREA RURAL,8/25/15,14,0.599729947,34,WESTERNAREARURAL
Guinea,CONAKRY,9/8/15,14,1.498875808,36,CONAKRY
Liberia,NIMBA,9/8/15,14,5.892245005,36,NIMBA
Guinea,FRIA,9/22/15,0,0.1,38,FRIA
Liberia,MARGIBI,10/6/15,14,44.52961189,40,MARGIBI
Sierra Leone,BO,10/20/15,14,0,42,BO
Sierra Leone,BO,10/27/15,14,0,43,BO
Sierra Leone,MOYAMBA,11/10/15,14,0.993464586,45,MOYAMBA
Guinea,MACENTA,12/15/15,14,0,50,MACENTA
Guinea,DUBREKA,12/29/15,14,0.39908653,52,DUBREKA
Sierra Leone,BOMBALI,1/5/16,14,2.256296417,53,BOMBALI
Sierra Leone,WESTERN AREA RURAL,2/9/16,14,0.494732293,58,WESTERNAREARURAL
Liberia,LOFA,6/23/15,13,0,25,LOFA
Liberia,LOFA,6/30/15,13,0,26,LOFA
Sierra Leone,PORT LOKO,8/4/15,13,0,31,PORTLOKO
Guinea,CONAKRY,8/18/15,13,0.699597089,33,CONAKRY
Liberia,NIMBA,8/25/15,13,5.195443393,34,NIMBA
Sierra Leone,MOYAMBA,9/1/15,13,0,35,MOYAMBA
Sierra Leone,KAMBIA,12/1/15,13,0,48,KAMBIA
Sierra Leone,MOYAMBA,12/1/15,13,0,48,MOYAMBA
Guinea,KINDIA,12/15/15,13,0.299698847,50,KINDIA
Sierra Leone,KAMBIA,12/29/15,13,0,52,KAMBIA
Sierra Leone,MOYAMBA,12/29/15,13,0,52,MOYAMBA
Sierra Leone,WESTERN AREA RURAL,1/12/16,13,2.177665589,54,WESTERNAREARURAL
Guinea,FORECARIAH,1/26/16,13,0,56,FORECARIAH
Guinea,CONAKRY,3/1/16,13,0.89748001,61,CONAKRY
Liberia,MONTSERRADO,6/23/15,12,0,25,MONTSERRADO
Guinea,GUECKEDOU,8/4/15,12,0,31,GUECKEDOU
Liberia,MARGIBI,8/11/15,12,19.15704599,32,MARGIBI
Sierra Leone,BOMBALI,8/18/15,12,0,33,BOMBALI
Guinea,CONAKRY,8/25/15,12,2.098640177,34,CONAKRY
Guinea,CONAKRY,9/15/15,12,0.099917859,37,CONAKRY
Guinea,NZEREKORE,10/27/15,12,0.498699882,43,NZEREKORE
Sierra Leone,KENEMA,10/27/15,12,4.066655252,43,KENEMA
Guinea,FARANAH,11/3/15,12,0.399814624,44,FARANAH
Sierra Leone,KONO,11/3/15,12,0,44,KONO
Guinea,FARANAH,11/17/15,12,1.198545512,46,FARANAH
Guinea,FORECARIAH,1/5/16,12,0,53,FORECARIAH
Guinea,CONAKRY,2/9/16,12,1.695606956,58,CONAKRY
Sierra Leone,BOMBALI,2/23/16,12,1.665758535,60,BOMBALI
Guinea,FORECARIAH,4/5/16,12,0,66,FORECARIAH
Guinea,CONAKRY,3/24/15,11,0,12,CONAKRY
Liberia,LOFA,6/9/15,11,0,23,LOFA
Sierra Leone,BO,8/4/15,11,0,31,BO
Sierra Leone,BO,8/18/15,11,0,33,BO
Liberia,MARGIBI,8/25/15,11,41.5423708,34,MARGIBI
Liberia,BOMI,9/1/15,11,0,35,BOMI
Liberia,BONG,9/1/15,11,0,35,BONG
Liberia,NIMBA,9/1/15,11,5.494120224,35,NIMBA
Guinea,KEROUANE,9/8/15,11,0.099891004,36,KEROUANE
Sierra Leone,KAILAHUN,9/8/15,11,14.80561384,36,KAILAHUN
Liberia,BOMI,9/15/15,11,0,37,BOMI
Liberia,BONG,9/15/15,11,0.19970863,37,BONG
Guinea,CONAKRY,10/27/15,11,0.099863898,43,CONAKRY
Guinea,KEROUANE,10/27/15,11,0,43,KEROUANE
Guinea,COYAH,11/17/15,11,3.29063082,46,COYAH
Liberia,MONTSERRADO,11/17/15,11,0,46,MONTSERRADO
Sierra Leone,KAMBIA,12/8/15,11,0,49,KAMBIA
Guinea,KEROUANE,12/15/15,11,0,50,KEROUANE
Guinea,COYAH,12/22/15,11,0.198856771,51,COYAH
Sierra Leone,KAMBIA,12/22/15,11,0,51,KAMBIA
Sierra Leone,BOMBALI,12/29/15,11,3.0419341,52,BOMBALI
Sierra Leone,WESTERN AREA RURAL,2/2/16,11,0.692706893,57,WESTERNAREARURAL
Guinea,DUBREKA,2/9/16,11,0,58,DUBREKA
Sierra Leone,BOMBALI,3/1/16,11,1.95929066,61,BOMBALI
Guinea,GUECKEDOU,3/17/15,10,0,11,GUECKEDOU
Guinea,GUECKEDOU,3/31/15,10,0,13,GUECKEDOU
Sierra Leone,WESTERN AREA RURAL,8/11/15,10,0.099986664,32,WESTERNAREARURAL
Liberia,BONG,8/18/15,10,0,33,BONG
Guinea,GUECKEDOU,8/25/15,10,0,34,GUECKEDOU
Guinea,GAOUAL,9/22/15,0,0,38,GAOUAL
Guinea,GUECKEDOU,9/22/15,3,0.09916045,38,GUECKEDOU
Sierra Leone,KONO,9/29/15,10,0,39,KONO
Sierra Leone,MOYAMBA,9/29/15,10,0.099606665,39,MOYAMBA
Liberia,MARGIBI,11/3/15,10,13.72789465,44,MARGIBI
Guinea,KINDIA,11/17/15,10,0.899486671,46,KINDIA
Sierra Leone,BO,11/24/15,10,0,47,BO
Sierra Leone,KAMBIA,11/24/15,10,0,47,KAMBIA
Sierra Leone,KAMBIA,12/15/15,10,0,50,KAMBIA
Guinea,LOLA,12/22/15,10,0,51,LOLA
Guinea,LOLA,12/29/15,10,0,52,LOLA
Sierra Leone,KAMBIA,1/19/16,10,0.099497967,55,KAMBIA
Sierra Leone,PORT LOKO,1/19/16,10,0,55,PORTLOKO
Sierra Leone,PORT LOKO,2/9/16,10,0,58,PORTLOKO
Sierra Leone,PORT LOKO,3/8/16,10,0,62,PORTLOKO
Guinea,CONAKRY,3/15/16,10,0.69788472,63,CONAKRY
Guinea,CONAKRY,4/14/15,9,0,15,CONAKRY
Guinea,GUECKEDOU,5/19/15,9,0,20,GUECKEDOU
Liberia,BONG,8/11/15,9,0,32,BONG
Sierra Leone,WESTERN AREA URBAN,8/11/15,9,1.399628205,32,WESTERNAREAURBAN
Sierra Leone,BO,9/1/15,9,0,35,BO
Sierra Leone,KONO,9/1/15,9,0.699752864,35,KONO
Liberia,BOMI,11/3/15,9,0,44,BOMI
Sierra Leone,KAMBIA,11/3/15,9,0,44,KAMBIA
Guinea,FARANAH,11/10/15,9,0.699451002,45,FARANAH
Guinea,LOLA,11/17/15,9,0,46,LOLA
Sierra Leone,KAMBIA,11/17/15,9,0,46,KAMBIA
Sierra Leone,KOINADUGU,11/24/15,9,0,47,KOINADUGU
Guinea,FORECARIAH,12/8/15,9,0.698969953,49,FORECARIAH
