"","Country","DistrictName","Week","Probable","Confirmed","ConfirmedFOI","ProbableFOI","DistrictID","WeekID","ProbableCumulative","ConfirmedCumulative","PopulationSize"
"424","Guinea","MALI","1/20/14",0,0,0,0,"MALI",3,0,0,290320
"426","Guinea","MAMOU","1/20/14",0,0,0,0,"MAMOU",3,0,0,318738
"428","Guinea","N'ZEREKORE","1/20/14",0,0,0,0,"NZEREKORE",3,0,0,396118
"430","Guinea","PITA","1/20/14",0,0,0,0,"PITA",3,0,0,277059
"432","Guinea","SIGUIRI","1/20/14",0,0,0,0,"SIGUIRI",3,0,0,695449
"434","Guinea","TELIMELE","1/20/14",0,0,0,0.22314355131421,"TELIMELE",3,0,0,283639
"436","Guinea","TOUGUE","1/20/14",0,0,0,0,"TOUGUE",3,0,0,122959
"438","Guinea","YOMOU","1/20/14",0,0,0,0,"YOMOU",3,0,0,176664
"440","Liberia","BOMI","1/20/14",0,0,0,0,"BOMI",3,0,0,103887
"442","Liberia","BONG","1/20/14",0,0,0,0,"BONG",3,0,0,411847
"444","Liberia","GBARPOLU","1/20/14",0,0,0,0,"GBARPOLU",3,0,0,102984
"446","Liberia","GRAND BASSA","1/20/14",0,0,0,0,"GRANDBASSA",3,0,0,273790
"448","Liberia","GRAND CAPE MOUNT","1/20/14",0,0,0,0,"GRANDCAPEMOUNT",3,0,0,156938
"450","Liberia","GRAND GEDEH","1/20/14",0,0,0,0,"GRANDGEDEH",3,0,0,154693
"452","Liberia","GRAND KRU","1/20/14",0,0,0,0,"GRANDKRU",3,0,0,71522
"454","Liberia","LOFA","1/20/14",0,0,0,0,"LOFA",3,0,0,341924
"456","Liberia","MARGIBI","1/20/14",0,0,0,0,"MARGIBI",3,0,0,259254
"458","Liberia","MARYLAND","1/20/14",0,0,0,0,"MARYLAND",3,0,0,167883
"460","Liberia","MONTSERRADO","1/20/14",0,0,0,0,"MONTSERRADO",3,0,0,1381022
"462","Liberia","NIMBA","1/20/14",0,0,0,0,"NIMBA",3,0,0,570600
"464","Liberia","RIVER GEE","1/20/14",0,0,0,0,"RIVERGEE",3,0,0,82484
"466","Liberia","RIVERCESS","1/20/14",0,0,0,0,"RIVERCESS",3,0,0,88313
"468","Liberia","SINOE","1/20/14",0,0,0,0,"SINOE",3,0,0,126452
"470","Sierra Leone","BO","1/20/14",0,0,0,0,"BO",3,0,0,587350
"472","Sierra Leone","BOMBALI","1/20/14",0,0,0,0,"BOMBALI",3,0,0,517326
"474","Sierra Leone","BONTHE","1/20/14",0,0,0,0,"BONTHE",3,0,0,176948
"476","Sierra Leone","KAILAHUN","1/20/14",0,0,0,0,"KAILAHUN",3,0,0,453736
"478","Sierra Leone","KAMBIA","1/20/14",0,0,0,0,"KAMBIA",3,0,0,342607
"480","Sierra Leone","KENEMA","1/20/14",0,0,0,0,"KENEMA",3,0,0,630774
"482","Sierra Leone","KOINADUGU","1/20/14",0,0,0,0,"KOINADUGU",3,0,0,336648
"484","Sierra Leone","KONO","1/20/14",0,0,0,0,"KONO",3,0,0,424868
"486","Sierra Leone","MOYAMBA","1/20/14",0,0,0,0,"MOYAMBA",3,0,0,330507
"488","Sierra Leone","PORT LOKO","1/20/14",0,0,0,0,"PORTLOKO",3,0,0,574781
"490","Sierra Leone","PUJEHUN","1/20/14",0,0,0,0,"PUJEHUN",3,0,0,289315
"492","Sierra Leone","TONKOLILI","1/20/14",0,0,0,0,"TONKOLILI",3,0,0,439810
"494","Sierra Leone","WESTERN AREA RURAL","1/20/14",0,0,0,0,"WESTERNAREARURAL",3,0,0,1199763
"496","Sierra Leone","WESTERN AREA URBAN","1/20/14",0,0,0,0,"WESTERNAREAURBAN",3,0,0,979034
"498","Guinea","BEYLA","1/27/14",0,0,0,0,"BEYLA",4,0,0,325482
"500","Guinea","BOFFA","1/27/14",0,0,0,0.336472236621213,"BOFFA",4,0,0,211063
"502","Guinea","BOKE","1/27/14",0,0,0,0,"BOKE",4,0,0,449405
"504","Guinea","CONAKRY","1/27/14",0,0,0,0.336472236621213,"CONAKRY",4,0,0,1667864
"506","Guinea","COYAH","1/27/14",0,0,0,0.336472236621213,"COYAH",4,0,0,264164
"508","Guinea","DABOLA","1/27/14",0,0,0,0,"DABOLA",4,0,0,182951
"510","Guinea","DALABA","1/27/14",0,0,0,0,"DALABA",4,0,0,136320
"512","Guinea","DINGUIRAYE","1/27/14",0,0,0,0,"DINGUIRAYE",4,0,0,195662
"514","Guinea","DUBREKA","1/27/14",0,0,0,2.19722457733622,"DUBREKA",4,0,0,328418
"516","Guinea","FARANAH","1/27/14",0,0,0,0,"FARANAH",4,0,0,280511
"518","Guinea","FORECARIAH","1/27/14",0,0,0,0,"FORECARIAH",4,0,0,244649
"520","Guinea","FRIA","1/27/14",0,0,0,0.336472236621213,"FRIA",4,0,0,96527
"522","Guinea","GAOUAL","1/27/14",0,0,0,0,"GAOUAL",4,0,0,194245
"524","Guinea","GUECKEDOU","1/27/14",3,0,0,0,"GUECKEDOU",4,0,0,291823
"526","Guinea","KANKAN","1/27/14",0,0,0,0,"KANKAN",4,0,0,472112
"528","Guinea","KEROUANE","1/27/14",0,0,0,0,"KEROUANE",4,0,0,211017
"530","Guinea","KINDIA","1/27/14",0,0,0,0.336472236621213,"KINDIA",4,0,0,438315
"532","Guinea","KISSIDOUGOU","1/27/14",0,0,0,0,"KISSIDOUGOU",4,0,0,283609
"534","Guinea","KOUBIA","1/27/14",0,0,0,0,"KOUBIA",4,0,0,101171
"536","Guinea","KOUNDARA","1/27/14",0,0,0,0,"KOUNDARA",4,0,0,130205
"538","Guinea","KOUROUSSA","1/27/14",0,0,0,0,"KOUROUSSA",4,0,0,268224
"540","Guinea","LABE","1/27/14",0,0,0,0,"LABE",4,0,0,318663
"542","Guinea","LELOUMA","1/27/14",0,0,0,0,"LELOUMA",4,0,0,162634
"544","Guinea","LOLA","1/27/14",0,0,0,0,"LOLA",4,0,0,175213
"546","Guinea","MACENTA","1/27/14",0,0,0,0,"MACENTA",4,0,0,298282
"548","Guinea","MALI","1/27/14",0,0,0,0,"MALI",4,0,0,290320
"550","Guinea","MAMOU","1/27/14",0,0,0,0,"MAMOU",4,0,0,318738
"552","Guinea","N'ZEREKORE","1/27/14",0,0,0,0,"NZEREKORE",4,0,0,396118
"554","Guinea","PITA","1/27/14",0,0,0,0,"PITA",4,0,0,277059
"556","Guinea","SIGUIRI","1/27/14",0,0,0,0,"SIGUIRI",4,0,0,695449
"558","Guinea","TELIMELE","1/27/14",0,0,0,0.336472236621213,"TELIMELE",4,0,0,283639
"560","Guinea","TOUGUE","1/27/14",0,0,0,0,"TOUGUE",4,0,0,122959
"562","Guinea","YOMOU","1/27/14",0,0,0,0,"YOMOU",4,0,0,176664
"564","Liberia","BOMI","1/27/14",0,0,0,0,"BOMI",4,0,0,103887
"566","Liberia","BONG","1/27/14",0,0,0,0,"BONG",4,0,0,411847
"568","Liberia","GBARPOLU","1/27/14",0,0,0,0,"GBARPOLU",4,0,0,102984
"570","Liberia","GRAND BASSA","1/27/14",0,0,0,0,"GRANDBASSA",4,0,0,273790
"572","Liberia","GRAND CAPE MOUNT","1/27/14",0,0,0,0,"GRANDCAPEMOUNT",4,0,0,156938
"574","Liberia","GRAND GEDEH","1/27/14",0,0,0,0,"GRANDGEDEH",4,0,0,154693
"576","Liberia","GRAND KRU","1/27/14",0,0,0,0,"GRANDKRU",4,0,0,71522
