"","Country","District","Case_Type","Week","Probable","Confirmed","confirmed.foi","probable.foi","probable_cumulative","confirmed_cumulative","population_size","log_normalized_probable","normalized_confirmed","normalized_probable_cumulative","normalized_confirmed_cumulative"
"656","Liberia","GRANDKRU"," Probable",2015-01-13,0,0,0,0,0,0,71522,0,0,0,0
"660","Liberia","LOFA"," Probable",2015-01-13,0,0,0,0,0,0,341924,0,0,0,0
"664","Liberia","MARGIBI"," Probable",2015-01-13,0,0,0,0,0,0,259254,0,0,0,0
"668","Liberia","MARYLAND"," Probable",2015-01-13,0,0,0,0,0,0,167883,0,0,0,0
"672","Liberia","MONTSERRADO"," Probable",2015-01-13,0,0,0,0,0,0,1381022,0,0,0,0
"676","Liberia","NIMBA"," Probable",2015-01-13,0,0,0,0,0,0,570600,0,0,0,0
"680","Liberia","RIVERGEE"," Probable",2015-01-13,0,0,0,0,0,0,82484,0,0,0,0
"684","Liberia","RIVERCESS"," Probable",2015-01-13,0,0,0,0,0,0,88313,0,0,0,0
"688","Liberia","SINOE"," Probable",2015-01-13,0,0,0,0,0,0,126452,0,0,0,0
"692","Sierra Leone","BO"," Probable",2015-01-13,0,0,0,0,0,0,587350,0,0,0,0
"696","Sierra Leone","BOMBALI"," Probable",2015-01-13,0,0,0,0,0,0,517326,0,0,0,0
"700","Sierra Leone","BONTHE"," Probable",2015-01-13,0,0,0,0,0,0,176948,0,0,0,0
"704","Sierra Leone","KAILAHUN"," Probable",2015-01-13,0,0,0,0,0,0,453736,0,0,0,0
"708","Sierra Leone","KAMBIA"," Probable",2015-01-13,0,0,0,0,0,0,342607,0,0,0,0
"712","Sierra Leone","KENEMA"," Probable",2015-01-13,0,0,0,0,0,0,630774,0,0,0,0
"716","Sierra Leone","KOINADUGU"," Probable",2015-01-13,0,0,0,0,0,0,336648,0,0,0,0
"720","Sierra Leone","KONO"," Probable",2015-01-13,0,0,0,0,0,0,424868,0,0,0,0
"724","Sierra Leone","MOYAMBA"," Probable",2015-01-13,0,0,0,0,0,0,330507,0,0,0,0
"728","Sierra Leone","PORTLOKO"," Probable",2015-01-13,0,0,0,0,0,0,574781,0,0,0,0
"732","Sierra Leone","PUJEHUN"," Probable",2015-01-13,0,0,0,0,0,0,289315,0,0,0,0
"736","Sierra Leone","TONKOLILI"," Probable",2015-01-13,0,0,0,0,0,0,439810,0,0,0,0
"740","Sierra Leone","WESTERNAREARURAL"," Probable",2015-01-13,0,0,0,0,0,0,1199763,0,0,0,0
"744","Sierra Leone","WESTERNAREAURBAN"," Probable",2015-01-13,0,0,0,0,0,0,979034,0,0,0,0
"748","Guinea","BEYLA"," Probable",2015-01-20,0,0,0,0,0,0,325482,0,0,0,0
"752","Guinea","BOFFA"," Probable",2015-01-20,0,0,0,0.0953101798043249,0,0,211063,0,0,0,0
"756","Guinea","BOKE"," Probable",2015-01-20,0,0,0,0,0,0,449405,0,0,0,0
"760","Guinea","CONAKRY"," Probable",2015-01-20,0,0,0,0.0953101798043249,0,0,1667864,0,0,0,0
"764","Guinea","COYAH"," Probable",2015-01-20,0,0,0,0.0953101798043249,0,0,264164,0,0,0,0
"768","Guinea","DABOLA"," Probable",2015-01-20,0,0,0,0,0,0,182951,0,0,0,0
"772","Guinea","DALABA"," Probable",2015-01-20,0,0,0,0,0,0,136320,0,0,0,0
"776","Guinea","DINGUIRAYE"," Probable",2015-01-20,0,0,0,0,0,0,195662,0,0,0,0
"780","Guinea","DUBREKA"," Probable",2015-01-20,0,0,0,1.79175946922805,0,0,328418,0,0,0,0
"784","Guinea","FARANAH"," Probable",2015-01-20,0,0,0,0,0,0,280511,0,0,0,0
"788","Guinea","FORECARIAH"," Probable",2015-01-20,0,0,0,0,0,0,244649,0,0,0,0
"792","Guinea","FRIA"," Probable",2015-01-20,0,0,0,0.0953101798043249,0,0,96527,0,0,0,0
"796","Guinea","GAOUAL"," Probable",2015-01-20,0,0,0,0,0,0,194245,0,0,0,0
"800","Guinea","GUECKEDOU"," Probable",2015-01-20,5,0,0,0,7,0,291823,1.71336734938644e-05,0,2.39871428914102e-05,0
"804","Guinea","KANKAN"," Probable",2015-01-20,0,0,0,0,0,0,472112,0,0,0,0
"808","Guinea","KEROUANE"," Probable",2015-01-20,0,0,0,0,0,0,211017,0,0,0,0
"812","Guinea","KINDIA"," Probable",2015-01-20,0,0,0,0.0953101798043249,0,0,438315,0,0,0,0
"816","Guinea","KISSIDOUGOU"," Probable",2015-01-20,0,0,0,0,0,0,283609,0,0,0,0
"820","Guinea","KOUBIA"," Probable",2015-01-20,0,0,0,0,0,0,101171,0,0,0,0
"824","Guinea","KOUNDARA"," Probable",2015-01-20,0,0,0,0,0,0,130205,0,0,0,0
"828","Guinea","KOUROUSSA"," Probable",2015-01-20,0,0,0,0,0,0,268224,0,0,0,0
"832","Guinea","LABE"," Probable",2015-01-20,0,0,0,0,0,0,318663,0,0,0,0
"836","Guinea","LELOUMA"," Probable",2015-01-20,0,0,0,0,0,0,162634,0,0,0,0
"840","Guinea","LOLA"," Probable",2015-01-20,0,0,0,0,0,0,175213,0,0,0,0
"844","Guinea","MACENTA"," Probable",2015-01-20,0,0,0,0,0,0,298282,0,0,0,0
"848","Guinea","MALI"," Probable",2015-01-20,0,0,0,0,0,0,290320,0,0,0,0
"852","Guinea","MAMOU"," Probable",2015-01-20,0,0,0,0,0,0,318738,0,0,0,0
"856","Guinea","NZEREKORE"," Probable",2015-01-20,0,0,0,0,0,0,396118,0,0,0,0
"860","Guinea","PITA"," Probable",2015-01-20,0,0,0,0,0,0,277059,0,0,0,0
"864","Guinea","SIGUIRI"," Probable",2015-01-20,0,0,0,0,0,0,695449,0,0,0,0
"868","Guinea","TELIMELE"," Probable",2015-01-20,0,0,0,0.0953101798043249,0,0,283639,0,0,0,0
"872","Guinea","TOUGUE"," Probable",2015-01-20,0,0,0,0,0,0,122959,0,0,0,0
"876","Guinea","YOMOU"," Probable",2015-01-20,0,0,0,0,0,0,176664,0,0,0,0
"880","Liberia","BOMI"," Probable",2015-01-20,0,0,0,0,0,0,103887,0,0,0,0
"884","Liberia","BONG"," Probable",2015-01-20,0,0,0,0,0,0,411847,0,0,0,0
"888","Liberia","GBARPOLU"," Probable",2015-01-20,0,0,0,0,0,0,102984,0,0,0,0
"892","Liberia","GRANDBASSA"," Probable",2015-01-20,0,0,0,0,0,0,273790,0,0,0,0
"896","Liberia","GRANDCAPEMOUNT"," Probable",2015-01-20,0,0,0,0,0,0,156938,0,0,0,0
"900","Liberia","GRANDGEDEH"," Probable",2015-01-20,0,0,0,0,0,0,154693,0,0,0,0
"904","Liberia","GRANDKRU"," Probable",2015-01-20,0,0,0,0,0,0,71522,0,0,0,0
"908","Liberia","LOFA"," Probable",2015-01-20,0,0,0,0,0,0,341924,0,0,0,0
"912","Liberia","MARGIBI"," Probable",2015-01-20,0,0,0,0,0,0,259254,0,0,0,0
"916","Liberia","MARYLAND"," Probable",2015-01-20,0,0,0,0,0,0,167883,0,0,0,0
"920","Liberia","MONTSERRADO"," Probable",2015-01-20,0,0,0,0,0,0,1381022,0,0,0,0
"924","Liberia","NIMBA"," Probable",2015-01-20,0,0,0,0,0,0,570600,0,0,0,0
"928","Liberia","RIVERGEE"," Probable",2015-01-20,0,0,0,0,0,0,82484,0,0,0,0
"932","Liberia","RIVERCESS"," Probable",2015-01-20,0,0,0,0,0,0,88313,0,0,0,0
"936","Liberia","SINOE"," Probable",2015-01-20,0,0,0,0,0,0,126452,0,0,0,0
"940","Sierra Leone","BO"," Probable",2015-01-20,0,0,0,0,0,0,587350,0,0,0,0
"944","Sierra Leone","BOMBALI"," Probable",2015-01-20,0,0,0,0,0,0,517326,0,0,0,0
"948","Sierra Leone","BONTHE"," Probable",2015-01-20,0,0,0,0,0,0,176948,0,0,0,0
"952","Sierra Leone","KAILAHUN"," Probable",2015-01-20,0,0,0,0,0,0,453736,0,0,0,0
"956","Sierra Leone","KAMBIA"," Probable",2015-01-20,0,0,0,0,0,0,342607,0,0,0,0
"960","Sierra Leone","KENEMA"," Probable",2015-01-20,0,0,0,0,0,0,630774,0,0,0,0
"964","Sierra Leone","KOINADUGU"," Probable",2015-01-20,0,0,0,0,0,0,336648,0,0,0,0
"968","Sierra Leone","KONO"," Probable",2015-01-20,0,0,0,0,0,0,424868,0,0,0,0
